W_400_10_300,T_400_10_300,W_400_50_300,T_400_50_300,W_400_100_300,T_400_100_300,W_400_10_100,T_400_10_100,W_400_50_100,T_400_50_100,W_400_100_100,T_400_100_100,W_400_10_30,T_400_10_30,W_400_50_30,T_400_50_30,W_400_100_30,T_400_100_30
0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000
8.910E+08,000.000101,9.928E+06,000.000280,3.777E+06,000.000036,2.056E+08,000.000467,7.181E+06,000.000467,1.250E+06,000.001296,7.460E+08,000.000101,2.877E+06,000.003600,3.779E+06,000.000036
4.040E+08,000.000161,6.358E+06,000.000448,3.213E+06,000.000073,1.300E+08,000.000746,4.968E+06,000.000746,8.917E+05,000.002074,3.638E+08,000.000161,1.901E+06,000.005760,3.218E+06,000.000073
2.860E+08,000.000234,5.227E+06,000.000649,2.855E+06,000.000116,9.136E+07,000.001082,4.002E+06,000.001082,6.865E+05,000.003007,2.632E+08,000.000234,1.456E+06,000.008352,2.861E+06,000.000116
2.204E+08,000.000321,4.457E+06,000.000891,2.564E+06,000.000168,6.956E+07,000.001486,3.369E+06,000.001486,5.472E+05,000.004126,2.050E+08,000.000321,1.234E+06,000.011462,2.573E+06,000.000168
1.762E+08,000.000425,3.844E+06,000.001182,2.315E+06,000.000231,5.527E+07,000.001969,2.865E+06,000.001969,4.450E+05,000.005470,1.652E+08,000.000425,1.159E+06,000.015195,2.327E+06,000.000231
1.439E+08,000.000551,3.334E+06,000.001530,2.095E+06,000.000306,4.504E+07,000.002550,2.448E+06,000.002550,3.681E+05,000.007083,1.359E+08,000.000551,1.180E+06,000.019674,2.110E+06,000.000306
1.193E+08,000.000701,2.897E+06,000.001948,1.897E+06,000.000397,3.733E+07,000.003246,2.096E+06,000.003246,3.111E+05,000.009018,1.133E+08,000.000701,1.291E+06,000.025049,1.916E+06,000.000397
1.000E+08,000.000882,2.514E+06,000.002449,1.717E+06,000.000505,3.128E+07,000.004082,1.794E+06,000.004082,2.709E+05,000.011339,9.550E+07,000.000882,1.504E+06,000.031498,1.740E+06,000.000505
8.456E+07,000.001098,2.175E+06,000.003051,1.553E+06,000.000635,2.637E+07,000.005085,1.533E+06,000.005085,2.472E+05,000.014126,8.115E+07,000.001098,1.844E+06,000.039238,1.579E+06,000.000635
7.196E+07,000.001358,1.875E+06,000.003773,1.401E+06,000.000791,2.234E+07,000.006289,1.309E+06,000.006289,2.355E+05,000.017469,6.940E+07,000.001358,2.356E+06,000.048526,1.433E+06,000.000791
6.154E+07,000.001670,1.609E+06,000.004640,1.262E+06,000.000978,1.903E+07,000.007733,1.120E+06,000.007733,2.344E+05,000.021481,5.966E+07,000.001670,3.108E+06,000.059671,1.298E+06,000.000978
5.281E+07,000.002045,1.373E+06,000.005680,1.133E+06,000.001203,1.635E+07,000.009467,9.640E+05,000.009467,2.449E+05,000.026296,5.148E+07,000.002045,4.213E+06,000.073045,1.176E+06,000.001203
4.544E+07,000.002494,1.167E+06,000.006928,1.014E+06,000.001472,1.429E+07,000.011547,8.429E+05,000.011547,2.682E+05,000.032074,4.454E+07,000.002494,5.837E+06,000.089094,1.064E+06,000.001472
3.918E+07,000.003033,9.893E+05,000.008426,9.042E+05,000.001796,1.268E+07,000.014043,7.591E+05,000.014043,3.069E+05,000.039007,3.865E+07,000.003033,8.239E+06,000.108353,9.612E+05,000.001796
3.382E+07,000.003680,8.416E+05,000.010223,8.025E+05,000.002184,1.141E+07,000.017038,7.000E+05,000.017038,3.653E+05,000.047327,3.360E+07,000.003680,1.181E+07,000.131463,8.680E+05,000.002184
2.917E+07,000.004456,7.253E+05,000.012379,7.084E+05,000.002650,1.049E+07,000.020632,6.636E+05,000.020632,4.504E+05,000.057310,2.922E+07,000.004456,1.716E+07,000.159196,7.834E+05,000.002650
2.514E+07,000.005388,6.392E+05,000.014967,6.217E+05,000.003209,9.885E+06,000.024945,6.512E+05,000.024945,5.729E+05,000.069291,2.542E+07,000.005388,2.520E+07,000.192475,7.073E+05,000.003209
2.166E+07,000.006506,5.708E+05,000.018072,5.424E+05,000.003879,9.557E+06,000.030120,6.627E+05,000.030120,7.491E+05,000.083668,2.216E+07,000.006506,3.737E+07,000.232410,6.399E+05,000.003879
1.867E+07,000.007848,5.207E+05,000.021799,4.700E+05,000.004684,9.474E+06,000.036331,6.995E+05,000.036331,1.004E+06,000.100920,1.938E+07,000.007848,5.588E+07,000.280332,5.812E+05,000.004684
1.617E+07,000.009457,4.877E+05,000.026270,4.046E+05,000.005650,9.609E+06,000.043784,7.646E+05,000.043784,1.375E+06,000.121622,1.709E+07,000.009457,8.424E+07,000.337838,5.311E+05,000.005650
1.418E+07,000.011389,4.699E+05,000.031636,3.464E+05,000.006809,9.951E+06,000.052727,8.641E+05,000.052727,1.919E+06,000.146465,1.531E+07,000.011389,1.281E+08,000.406846,4.907E+05,000.006809
1.256E+07,000.013707,4.657E+05,000.038076,2.959E+05,000.008200,1.050E+07,000.063459,1.008E+06,000.063459,2.725E+06,000.176276,1.393E+07,000.013707,1.965E+08,000.489655,4.612E+05,000.008200
1.123E+07,000.016489,4.745E+05,000.045803,2.531E+05,000.009869,1.127E+07,000.076338,1.210E+06,000.076338,3.923E+06,000.212049,1.285E+07,000.016489,3.050E+08,000.589026,4.442E+05,000.009869
1.021E+07,000.019827,4.965E+05,000.055075,2.187E+05,000.011872,1.230E+07,000.091792,1.494E+06,000.091792,5.719E+06,000.254978,1.213E+07,000.019827,4.813E+08,000.708272,4.423E+05,000.011872
9.466E+06,000.023833,5.331E+05,000.066202,1.934E+05,000.014275,1.364E+07,000.110337,1.894E+06,000.110337,8.421E+06,000.306492,1.177E+07,000.023833,7.793E+08,000.851366,4.598E+05,000.014275
8.972E+06,000.028640,5.868E+05,000.079555,1.739E+05,000.017160,1.539E+07,000.132591,2.457E+06,000.132591,1.251E+07,000.368308,1.175E+07,000.028640,1.313E+09,001.023079,4.968E+05,000.017160
8.690E+06,000.034408,6.617E+05,000.095578,1.597E+05,000.020621,1.767E+07,000.159296,3.260E+06,000.159296,1.872E+07,000.442489,1.207E+07,000.034408,2.338E+09,001.229135,5.588E+05,000.020621
8.588E+06,000.041330,7.640E+05,000.114805,1.510E+05,000.024774,2.067E+07,000.191342,4.411E+06,000.191342,2.821E+07,000.531505,1.275E+07,000.041330,4.422E+09,001.476402,6.548E+05,000.024774
8.639E+06,000.049636,9.024E+05,000.137878,1.474E+05,000.029757,2.464E+07,000.229797,6.077E+06,000.229797,4.278E+07,000.638324,1.384E+07,000.049636,8.654E+09,001.773122,7.971E+05,000.029757
8.825E+06,000.059604,1.090E+06,000.165566,1.487E+05,000.035738,2.996E+07,000.275943,8.506E+06,000.275943,6.531E+07,000.766507,1.538E+07,000.059604,1.672E+10,002.129187,1.004E+06,000.035738
9.138E+06,000.071565,1.345E+06,000.198791,1.550E+05,000.042915,3.715E+07,000.331318,1.207E+07,000.331318,1.004E+08,000.920327,1.751E+07,000.071565,3.108E+10,002.556464,1.303E+06,000.042915
9.575E+06,000.085918,1.693E+06,000.238661,1.668E+05,000.051527,4.700E+07,000.397768,1.736E+07,000.397768,1.554E+08,001.104911,2.039E+07,000.085918,5.550E+10,003.069197,1.735E+06,000.051527
1.014E+07,000.103142,2.175E+06,000.286505,1.853E+05,000.061861,6.064E+07,000.477508,2.523E+07,000.477508,2.433E+08,001.326412,2.428E+07,000.103142,9.560E+10,003.684476,2.362E+06,000.061861
1.087E+07,000.123810,2.847E+06,000.343918,2.122E+05,000.074262,7.975E+07,000.573196,3.706E+07,000.573196,3.871E+08,001.592212,2.958E+07,000.123810,1.594E+11,004.422812,3.277E+06,000.074262
1.177E+07,000.148613,3.792E+06,000.412813,2.500E+05,000.089144,1.068E+08,000.688022,5.496E+07,000.688022,6.336E+08,001.911173,3.685E+07,000.148613,2.577E+11,005.308814,4.626E+06,000.089144
1.290E+07,000.178376,5.135E+06,000.495488,3.027E+05,000.107001,1.455E+08,000.825813,8.224E+07,000.825813,1.089E+09,002.293926,4.694E+07,000.178376,4.044E+11,006.372017,6.627E+06,000.107001
1.431E+07,000.214091,7.061E+06,000.594698,3.763E+05,000.128430,2.014E+08,000.991163,1.242E+08,000.991163,2.007E+09,002.753230,6.111E+07,000.214091,6.167E+11,007.647860,9.617E+06,000.128430
1.609E+07,000.256950,9.852E+06,000.713749,4.795E+05,000.154146,2.829E+08,001.189582,1.891E+08,001.189582,3.960E+09,003.304394,8.123E+07,000.256950,9.147E+11,009.178872,1.411E+07,000.154146
1.833E+07,000.308380,1.393E+07,000.856611,6.251E+05,000.185004,4.023E+08,001.427685,2.908E+08,001.427685,7.931E+09,003.965791,1.101E+08,000.308380,1.320E+12,011.016087,2.090E+07,000.185004
2.118E+07,000.370096,1.995E+07,001.028045,8.325E+05,000.222034,5.786E+08,001.713408,4.527E+08,001.713408,1.522E+10,004.759468,1.520E+08,000.370096,1.856E+12,013.220744,3.121E+07,000.222034
2.485E+07,000.444156,2.892E+07,001.233766,1.131E+06,000.266469,8.401E+08,002.056277,7.171E+08,002.056277,2.774E+10,005.711880,2.134E+08,000.444156,2.546E+12,015.866333,4.696E+07,000.266469
2.960E+07,000.533027,4.237E+07,001.480631,1.563E+06,000.319792,1.230E+09,002.467719,1.166E+09,002.467719,4.844E+10,006.854774,3.040E+08,000.533027,3.445E+12,019.041040,7.118E+07,000.319792
3.585E+07,000.639673,6.272E+07,001.776869,2.194E+06,000.383780,1.815E+09,002.961449,1.171E+09,002.471865,8.123E+10,008.226247,4.389E+08,000.639673,4.712E+12,022.850687,1.087E+08,000.383780
4.414E+07,000.767648,9.373E+07,002.132355,3.122E+06,000.460565,2.234E+09,003.257687,1.174E+09,002.474353,1.306E+11,009.872015,6.412E+08,000.767648,6.862E+12,027.422265,1.676E+08,000.460565
5.528E+07,000.921218,1.413E+08,002.558938,4.497E+06,000.552706,2.803E+09,003.613173,1.178E+09,002.477338,2.011E+11,011.846937,9.470E+08,000.921218,1.106E+13,032.908158,2.619E+08,000.552706
