W_300_10_300,T_300_10_300,W_300_50_300,T_300_50_300,W_300_100_300,T_300_100_300,W_300_10_100,T_300_10_100,W_300_50_100,T_300_50_100,W_300_100_100,T_300_100_100,W_300_10_30,T_300_10_30,W_300_50_30,T_300_50_30,W_300_100_30,T_300_100_30
0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000,0.000E+00,000.000000
8.726E+07,000.001296,5.015E+06,000.001296,1.599E+06,000.000778,6.918E+08,000.000060,8.011E+06,000.000467,1.599E+06,000.000778,7.202E+07,000.002160,4.997E+06,000.001296,1.638E+06,000.000778
5.294E+07,000.002074,3.432E+06,000.002074,1.181E+06,000.001244,4.290E+08,000.000121,6.022E+06,000.000746,1.188E+06,000.001244,4.167E+07,000.003456,3.479E+06,000.002074,1.228E+06,000.001244
3.851E+07,000.003007,2.571E+06,000.003007,9.311E+05,000.001804,3.037E+08,000.000193,4.814E+06,000.001082,9.407E+05,000.001804,2.940E+07,000.005011,2.653E+06,000.003007,9.849E+05,000.001804
2.986E+07,000.004126,1.996E+06,000.004126,7.532E+05,000.002476,2.308E+08,000.000281,3.958E+06,000.001486,7.655E+05,000.002476,2.241E+07,000.006877,2.111E+06,000.004126,8.153E+05,000.002476
2.389E+07,000.005470,1.575E+06,000.005470,6.163E+05,000.003282,1.823E+08,000.000385,3.303E+06,000.001969,6.314E+05,000.003282,1.791E+07,000.009117,1.722E+06,000.005470,6.882E+05,000.003282
1.949E+07,000.007083,1.254E+06,000.007083,5.068E+05,000.004250,1.476E+08,000.000510,2.776E+06,000.002550,5.249E+05,000.004250,1.500E+07,000.011804,1.435E+06,000.007083,5.897E+05,000.004250
1.617E+07,000.009018,1.009E+06,000.009018,4.170E+05,000.005411,1.215E+08,000.000661,2.341E+06,000.003246,4.382E+05,000.005411,1.311E+07,000.015029,1.226E+06,000.009018,5.123E+05,000.005411
1.373E+07,000.011339,8.248E+05,000.011339,3.430E+05,000.006804,1.013E+08,000.000841,1.977E+06,000.004082,3.676E+05,000.006804,1.185E+07,000.018899,1.083E+06,000.011339,4.527E+05,000.006804
1.195E+07,000.014126,6.960E+05,000.014126,2.830E+05,000.008475,8.529E+07,000.001058,1.667E+06,000.005085,3.112E+05,000.008475,1.117E+07,000.023543,1.004E+06,000.014126,4.095E+05,000.008475
1.058E+07,000.017469,6.015E+05,000.017469,2.355E+05,000.010482,7.235E+07,000.001318,1.405E+06,000.006289,2.678E+05,000.010482,1.094E+07,000.029115,9.730E+05,000.017469,3.823E+05,000.010482
9.606E+06,000.021481,5.332E+05,000.021481,2.000E+05,000.012889,6.174E+07,000.001630,1.185E+06,000.007733,2.373E+05,000.012889,1.112E+07,000.035802,9.858E+05,000.021481,3.730E+05,000.012889
8.959E+06,000.026296,4.880E+05,000.026296,1.748E+05,000.015778,5.291E+07,000.002004,1.005E+06,000.009467,2.183E+05,000.015778,1.168E+07,000.043827,1.048E+06,000.026296,3.827E+05,000.015778
8.576E+06,000.032074,4.613E+05,000.032074,1.558E+05,000.019244,4.548E+07,000.002454,8.634E+05,000.011547,2.071E+05,000.019244,1.262E+07,000.053456,1.168E+06,000.032074,4.098E+05,000.019244
8.407E+06,000.039007,4.502E+05,000.039007,1.430E+05,000.023404,3.920E+07,000.002993,7.625E+05,000.014043,2.045E+05,000.023404,1.399E+07,000.065012,1.359E+06,000.039007,4.598E+05,000.023404
8.408E+06,000.047327,4.525E+05,000.047327,1.358E+05,000.028396,3.384E+07,000.003640,6.880E+05,000.017038,2.108E+05,000.028396,1.586E+07,000.078878,1.641E+06,000.047327,5.397E+05,000.028396
8.552E+06,000.057310,4.677E+05,000.057310,1.334E+05,000.034386,2.921E+07,000.004416,6.367E+05,000.020632,2.266E+05,000.034386,1.840E+07,000.095517,2.050E+06,000.057310,6.595E+05,000.034386
8.819E+06,000.069291,4.962E+05,000.069291,1.356E+05,000.041575,2.520E+07,000.005348,6.086E+05,000.024945,2.536E+05,000.041575,2.181E+07,000.115485,2.638E+06,000.069291,8.347E+05,000.041575
9.203E+06,000.083668,5.397E+05,000.083668,1.423E+05,000.050201,2.174E+07,000.006466,6.023E+05,000.030120,2.947E+05,000.050201,2.644E+07,000.139446,3.484E+06,000.083668,1.089E+06,000.050201
9.706E+06,000.100920,6.010E+05,000.100920,1.542E+05,000.060552,1.878E+07,000.007807,6.175E+05,000.036331,3.543E+05,000.060552,3.276E+07,000.168199,4.708E+06,000.100920,1.457E+06,000.060552
1.034E+07,000.121622,6.846E+05,000.121622,1.721E+05,000.072973,1.630E+07,000.009417,6.552E+05,000.043784,4.396E+05,000.072973,4.148E+07,000.202703,6.493E+06,000.121622,1.993E+06,000.072973
1.112E+07,000.146465,7.971E+05,000.146465,1.977E+05,000.087879,1.434E+07,000.011349,7.185E+05,000.052727,5.612E+05,000.087879,5.367E+07,000.244108,9.113E+06,000.146465,2.781E+06,000.087879
1.209E+07,000.176276,9.480E+05,000.176276,2.333E+05,000.105766,1.276E+07,000.013667,8.132E+05,000.063459,7.351E+05,000.105766,7.088E+07,000.293793,1.299E+07,000.176276,3.944E+06,000.105766
1.329E+07,000.212049,1.151E+06,000.212049,2.827E+05,000.127230,1.146E+07,000.016449,9.483E+05,000.076338,9.857E+05,000.127230,9.547E+07,000.353416,1.875E+07,000.212049,5.677E+06,000.127230
1.477E+07,000.254978,1.425E+06,000.254978,3.512E+05,000.152987,1.049E+07,000.019787,1.137E+06,000.091792,1.350E+06,000.152987,1.310E+08,000.424963,2.738E+07,000.254978,8.273E+06,000.152987
1.662E+07,000.306492,1.799E+06,000.306492,4.467E+05,000.183895,9.800E+06,000.023792,1.401E+06,000.110337,1.883E+06,000.183895,1.827E+08,000.510820,4.038E+07,000.306492,1.218E+07,000.183895
1.893E+07,000.368308,2.314E+06,000.368308,5.810E+05,000.220985,9.373E+06,000.028599,1.770E+06,000.132591,2.669E+06,000.220985,2.587E+08,000.613847,6.012E+07,000.368308,1.811E+07,000.220985
2.185E+07,000.442489,3.029E+06,000.442489,7.713E+05,000.265493,9.175E+06,000.034368,2.288E+06,000.159296,3.837E+06,000.265493,3.713E+08,000.737481,9.030E+07,000.442489,2.711E+07,000.265493
2.557E+07,000.531505,4.032E+06,000.531505,1.044E+06,000.318903,9.179E+06,000.041289,3.022E+06,000.191342,5.582E+06,000.318903,5.394E+08,000.885841,1.369E+08,000.531505,4.089E+07,000.318903
3.035E+07,000.638324,5.454E+06,000.638324,1.437E+06,000.382994,9.365E+06,000.049596,4.070E+06,000.229797,8.203E+06,000.382994,7.919E+08,001.063873,2.094E+08,000.638324,6.207E+07,000.382994
3.659E+07,000.766507,7.492E+06,000.766507,2.008E+06,000.459904,9.726E+06,000.059563,5.579E+06,000.275943,1.216E+07,000.459904,1.174E+09,001.277512,3.244E+08,000.766507,9.492E+07,000.459904
4.480E+07,000.920327,1.044E+07,000.920327,2.846E+06,000.552196,1.026E+07,000.071524,7.771E+06,000.331318,1.817E+07,000.552196,1.756E+09,001.533879,5.108E+08,000.920327,1.464E+08,000.552196
5.574E+07,001.104911,1.475E+07,001.104911,4.082E+06,000.662947,1.100E+07,000.085878,1.098E+07,000.397768,2.734E+07,000.662947,2.651E+09,001.841518,8.244E+08,001.104911,2.283E+08,000.662947
7.052E+07,001.326412,2.111E+07,001.326412,5.920E+06,000.795847,1.195E+07,000.103101,1.571E+07,000.477508,4.141E+07,000.795847,4.073E+09,002.210686,1.381E+09,001.326412,3.625E+08,000.795847
9.069E+07,001.592212,3.058E+07,001.592212,8.669E+06,000.955327,1.318E+07,000.123770,2.274E+07,000.573196,6.312E+07,000.955327,5.089E+09,002.432186,2.436E+09,001.592212,5.945E+08,000.955327
1.185E+08,001.911173,4.480E+07,001.911173,1.281E+07,001.146704,1.477E+07,000.148573,3.326E+07,000.688022,9.687E+07,001.146704,6.537E+09,002.697987,4.544E+09,001.911173,1.036E+09,001.146704
1.574E+08,002.293926,6.631E+07,002.293926,1.908E+07,001.376356,1.682E+07,000.178335,4.915E+07,000.825813,1.497E+08,001.376356,8.716E+09,003.016948,6.406E+09,002.102550,1.997E+09,001.376356
2.120E+08,002.753230,9.911E+07,002.753230,2.863E+07,001.651938,1.948E+07,000.214051,7.330E+07,000.991163,2.336E+08,001.651938,1.233E+10,003.399701,9.356E+09,002.332201,4.275E+09,001.651938
2.893E+08,003.304394,1.495E+08,003.304394,4.324E+07,001.982636,2.298E+07,000.256909,1.103E+08,001.189582,3.697E+08,001.982636,1.889E+10,003.859005,1.404E+10,002.607784,9.063E+09,001.982636
3.995E+08,003.965791,2.274E+08,003.965791,6.571E+07,002.379475,2.760E+07,000.308340,1.674E+08,001.427685,5.993E+08,002.379475,3.129E+10,004.410169,2.145E+10,002.938482,1.554E+10,002.313335
5.572E+08,004.759468,3.490E+08,004.759468,1.004E+08,002.855681,3.378E+07,000.370056,2.564E+08,001.713408,1.012E+09,002.855681,5.497E+10,005.071566,3.309E+10,003.335320,2.495E+10,002.710173
7.444E+08,005.553145,5.416E+08,005.711880,1.543E+08,003.427128,4.215E+07,000.444115,3.968E+08,002.056277,1.650E+09,003.331887,9.993E+10,005.865243,5.127E+10,003.811526,3.910E+10,003.186379
1.008E+09,006.505557,8.532E+08,006.854774,2.389E+08,004.112865,5.361E+07,000.532987,6.231E+08,002.467719,2.875E+09,003.903334,1.829E+11,006.817655,7.935E+10,004.382974,6.067E+10,003.757827
1.381E+09,007.648451,1.372E+09,008.226247,3.015E+08,004.524307,6.948E+07,000.639633,9.995E+08,002.961449,5.276E+09,004.589071,3.254E+11,007.960549,1.221E+11,005.068710,9.267E+10,004.443563
1.912E+09,009.019924,2.269E+09,009.872015,3.741E+08,004.935748,9.170E+07,000.767608,1.294E+09,003.257687,9.796E+09,005.411954,5.448E+11,009.332022,1.861E+11,005.891594,1.387E+11,005.266447
2.655E+09,010.665692,3.923E+09,011.846937,4.759E+08,005.429479,1.232E+08,000.921177,1.734E+09,003.613173,1.782E+10,006.399415,7.974E+11,010.703496,2.801E+11,006.879055,2.031E+11,006.253908
3.673E+09,012.640613,7.290E+09,014.216843,6.228E+08,006.021955,1.682E+08,001.105461,2.417E+09,004.039756,3.143E+10,007.584368,1.121E+12,012.349264,4.154E+11,008.064008,2.898E+11,007.438861
5.167E+09,015.010519,1.456E+10,017.060730,8.416E+08,006.732927,2.331E+08,001.326602,3.523E+09,004.551656,5.364E+10,009.006312,1.532E+12,014.324185,6.060E+11,009.485951,4.007E+11,008.860804
